subj,num,suf,format,term,code,inst,title,sec,enr
NEJS,188,A,LEC,Fall 2004,1043,"Levy, Avigdor",RISE/DECLINE:OTTOMAN EMP,1,32
CHEM,121,A,LEC,Fall 2004,1043,"Foxman, Bruce","INORGANIC CHEM I, LECS.",1,18
CHEM,130,A,LEC,Fall 2004,1043,"Yu, Jinquan",ADV ORG. CHEM: STRUCTURE,1,14
COMP,1,A,LEC,Fall 2004,1043,"Ruesch, Gordon",COMPOSITION,3,11
MUS,118,A,STD,Fall 2004,1043,"Ray, Mary",SENIOR RECITAL I,1,3
PE,32,A,NCA,Fall 2004,1043,"Dibble, Susan",MODERN DANCE,1,15
USEM,89,B,SEM,Fall 2004,1043,"Engerman, David",COLLEGE 101,1W,18
HS,529,A,LEC,Fall 2004,1043,"Capitman, John",SOC.POLICY/POPULTN GROUP,1,15
POL,14,B,LEC,Fall 2004,1043,"Teles, Steven",INTRO TO AMERICAN GOV'T.,1,81
SOC,107,A,LEC,Fall 2004,1043,"Williams, Dessima",APARTHEID/SOCIAL MOVEMNT,1,45
SOC,201,A,LEC,Fall 2004,1043,"Hayim, Gila",CLASSICAL/CRITICAL THEOR,1,5
PE,5,A,NCA,Fall 2004,1043,"Sullivan, Mary",FIRST AID AND CPR,2,11
PE,10,A,NCA,Fall 2004,1043,"Ewing, Anthony",BASKETBALL,1,29
THA,325,D,STD,Fall 2004,1043,"Eigsti, Karl",SET DESIGN III,1,4
JAPN,105,A,LEC,Fall 2004,1043,"Sekino, Hiroko",ADV.CONVERS/COMPOSTN I,1,4
USEM,6,A,SEM,Fall 2004,1043,"Kelikian, Alice",ANATOMY AND GENDER,1W,18
PHYS,113,A,LEC,Fall 2004,1043,"Canter, Karl",FIRST YEAR TUTORIAL I,1,10
YDSH,30,A,LEC,Fall 2004,1043,"Kellman, Ellen",INTERMEDIATE YIDDISH,1,10
AAAS,163,B,LEC,Fall 2004,1043,"Nyangoni, Wellington",AFRICA IN WORLD POLITICS,1,11
USEM,14,B,SEM,Fall 2004,1043,"DeRosier, David",HOW DO YOU KNOW WHAT YOU KNOW,1,18
NEJS,10,A,SEM,Fall 2004,1043,"Stackert, Jeffrey",BIBL. HBRW GRAMMAR/T,1,14
HBRW,19,A,SEM,Fall 2004,1043,"Shorr, Esther",BEGINNING HEBREW: HONORS,1,10
UWS,12,A,SEM,Fall 2004,1043,"Turner, John",UNIVERSITY WRITING SEM.,1,6
MUS,11,A,STD,Fall 2004,1043,"Olesen, James",CHAMBER CHOIR,2XC,2
ECON,82,B,LEC,Fall 2004,1043,"Bahceci, Serkan",MACROECONOMIC THEORY,1,43
ECON,83,A,LEC,Fall 2004,1043,"Bui, Linda",STATISTICS-ECON ANALYSIS,2,36
PSYC,1,A,LEC,Fall 2004,1043,"Morant, Ricardo",INTRO TO PSYCHOLOGY,1,117
ECON,62,A,LEC,Fall 2004,1043,"Bahceci, Serkan",INTRO TO GAME THEORY,1,24
PE,20,A,NCA,Fall 2004,1043,"Best-Jarvis, John",TENNIS-INTERMEDIATE,1,10
MATH,10,A,LEC,Fall 2004,1043,"Zhang, Yuqing",TECHNIQUES-CALCULUS (A),2,23
PE,16,A,NCA,Fall 2004,1043,"Shipman, William",GOLF,4,11
FA,4,A,STD,Fall 2004,1043,"Baenziger, Markus",THREE-DIMENSIONAL DES. I,1,16
HBRW,35,A,LEC,Fall 2004,1043,"Porath, Bonit",CONVERSATION/WRITING SK,1,14
FREN,32,A,LEC,Fall 2004,1043,"Ratner, Esther",INT.FRENCH:CONVERSATION,2,18
THA,275,D,STD,Fall 2004,1043,"Booth, Debra",SET DESIGN II,1,4
USEM,8,A,SEM,Fall 2004,1043,"Walker, Cheryl",TEXTUAL TRANSFORMATIONS,1,6
RSEG,290,,LEC,Fall 2004,1043,"Hemdal, Erik",SPECIAL TOPICS,3,8
MATH,203,B,LEC,Fall 2004,1043,"Monsky, Paul",NUMBER THEORY,1,7
POL,105,A,LEC,Fall 2004,1043,"Francis, Richard",ELECTIONS IN AMERICA,1,28
RPJM,110,,LEC,Fall 2004,1043,"Marando, Anne",RISK MANAGEMENT/PROJECT&PROGRA,1,16
CHIN,30,A,LEC,Fall 2004,1043,"Liu, Yuxiang",INTERMEDIATE CHINESE,1,17
CHEM,241,C,SEM,Fall 2004,1043,"Epstein, Irving",PHYSICAL CHEMISTRY SEM.,1,13
BIOL,22,B,LEC,Fall 2004,1043,"Goode, Bruce",CELL STRUCTURE/FUNCTION,3,49
BIOL,214,C,SEM,Fall 2004,1043,"Rosenfield, Janet",GNTC CNSLNG-PROCESS GRP.,1,10
PE,31,A,NCA,Fall 2004,1043,"Margosian, Pamela",BALLET,1,13
PE,40,A,NCA,Fall 2004,1043,"True, James",PERSNL SAFETY-SELF DEFEN,1,16
PHIL,6,A,LEC,Fall 2004,1043,"Samet, Jerry",INTRO TO SYMBOLIC LOGIC,1,53
PHIL,136,A,LEC,Fall 2004,1043,"Greenberg, Robert",PERSONAL IDENTITY,1,14
NBIO,340,D,LEC,Fall 2004,1043,"Abbott, Laurence",COMPUTATIONAL SYS/NEUR,1,15
HS,528,F,LEC,Fall 2004,1043,"Hill, Anita",LAW & SOCIETY:RACE&CLASS,1,10
ENG,58,A,LEC,Fall 2004,1043,"Ritzenberg, Aaron",AMERIC NARRATIVES OF ESCAPE,1,13
PE,2,B,NCA,Fall 2004,1043,"Zotz, James",WATER AEROBICS,1,8
SPAN,110,A,LEC,Fall 2004,1043,"Fox, Dian",INTRO PENINSULAR SP. LIT,1,23
SPAN,198,A,SEM,Fall 2004,1043,"Mandrell, James",SEM:LITERARY/CULTURAL ST,1,12
JOUR,103,B,SEM,Fall 2004,1043,"Socolow, Michael",ADVERTISING & THE MEDIA,1,133
CHEM,33,A,LEC,Fall 2004,1043,"Rose, Timothy",ENVIRONMENTAL CHEMISTRY,1,10
PHYS,19,A,LAB,Fall 2004,1043,"Fell, Richard",PHYSICS LAB I,3,12
PSYC,195,A,LEC,Fall 2004,1043,"Hershenson, Maurice",HISTORY OF PSYCHOLOGY,1,27
UWS,11,A,SEM,Fall 2004,1043,"Wepler, Ryan",UNIVERSITY WRITING SEM.,1,16
AMST,20,A,LEC,Fall 2004,1043,"Donahue, Brian",ENVIRONMENTAL ISSUES,1,46
POL,103,B,SEM,Fall 2004,1043,"Levin, Martin",SEM.POLITICAL LEADERSHIP,1,25
ECON,200,F,LEC,Fall 2004,1043,"Bender, Jennifer",FUNDAMENTALS:MICROECONOM,1,25
RSEG,171,,LEC,Fall 2004,1043,"Gibson, James",DATABASE WRHSG/DATA MIN.,1,8
COSI,171,A,LEC,Fall 2004,1043,"Cohn, Martin",CRYPTOLOGY,1,23
USEM,69,A,SEM,Fall 2004,1043,"DiZio, Paul",HUMAN MOVEMENT & SENSE OF SELF,1,16
MATH,28,A,LEC,Fall 2004,1043,"Monsky, Paul",INTRODUCTION TO GROUPS,1,16
THA,315,A,STD,Fall 2004,1043,"Morrison, Janet",REHEARSAL & PERFORM. III,1,10
IGS,10,A,LEC,Fall 2004,1043,"Ross, George",INTRO TO INT'L GLOBAL ST,1,64
ECON,80,A,LEC,Fall 2004,1043,"Su, Jian",MICROECONOMIC THEORY,2,38
HIST,52,B,LEC,Fall 2004,1043,"Jankowski, Paul",EUROPE: 1789 TO PRESENT,1,31
ED,265,A,SEM,Fall 2004,1043,"Pearlmutter, Nili",FIELD INTERNSHIP (ELEMENTARY),1,6
PE,16,A,NCA,Fall 2004,1043,"Millette, Christopher",GOLF,3,12
ENG,33,A,LEC,Fall 2004,1043,"Targoff, Ramie",SHAKESPEARE,1,66
MATH,30,A,LEC,Fall 2004,1043,"Igusa, Kiyoshi",INTRO TO ALGEBRA I,1,19
MATH,110,A,LEC,Fall 2004,1043,"Adler, Mark",GEOMETRIC ANALYSIS,1,10
FA,3,A,STD,Fall 2004,1043,"Johnson, Jan",INTRO TO DRAWING I,2,16
HS,264,F,LEC,Fall 2004,1043,"Olson, Eric",PRINCIPLES OF ECOLOGY,1,30
NEJS,184,B,LEC,Fall 2004,1043,"Jacobson, Joshua",THE MUSIC OF THE JEWISH PEOPLE,1,21
MATH,150,B,LEC,Fall 2004,1043,"Gessel, Ira",COMBINATORICS II,1,6
MUS,227,A,SEM,Fall 2004,1043,"Boykan, Martin",PROSEM: THEORY/COMPOSITN,1,7
BUS,276,A,LEC,Fall 2004,1043,"Morrison, J.",BUSINESS DYNAMICS,1,25
BIOL,28,A,SEM,Fall 2004,1043,"Hughes, Jeff",MARINE BIOLOGY,1,12
CHEM,19,A,LAB,Fall 2004,1043,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,5,11
CHEM,25,A,LEC,Fall 2004,1043,"Snider, Barry","ORGANIC CHEMISTRY, LECS.",1,119
BUS,281,F,LEC,Fall 2004,1043,"Aikens, Alexander",LAW OF INT'L TANSACTIONS,1,14
BCHM,300,A,LEC,Fall 2004,1043,"Kern, Dorothee",BIOCHEMISTRY TECHNIQUES,1,4
PHYS,200,A,LEC,Fall 2004,1043,"Deser, Stanley",GENERAL RELATIVITY,1,4
NBIO,306,D,LEC,Fall 2004,1043,"Turrigiano, Gina",TOPICS IN NEUROBIOLOGY,1,44
NEJS,2,A,LEC,Fall 2004,1043,"Ravid, Benjamin",INTRO TO JEWISH EXPERNCE,1,20
MUS,15,A,STD,Fall 2004,1043,"Hampton, Neal",WIND ENSEMBLE,2XC,10
SOC,191,A,LEC,Fall 2004,1043,"Conrad, Peter","HEALTH, COMMUNITY & SOC.",1,65
SOC,290,C,SEM,Fall 2004,1043,"Sirianni, Carmen",PROSEMINAR,1,4
UWS,3,A,SEM,Fall 2004,1043,"Shirilan, Stephanie",UNIVERSITY WRITING SEM.,1,14
THA,330,D,STD,Fall 2004,1043,"von Mayrhauser, Jennifer",COSTUME DESIGN III,1,2
THA,395,A,STD,Fall 2004,1043,"Hill, Eric",TOPICS: THEATER & DRAMA,1,10
USEM,3,A,SEM,Fall 2004,1043,"Brooten, Bernadette","SLAVERY,RELIGION,& WOMEN",1W,17
SPAN,105,A,LEC,Fall 2004,1043,"Arteta, Jorge",SPANISH CONVERSATN/GRAM.,1,18
THA,1,A,LEC,Fall 2004,1043,"McKittrick, Ryan",THEATER IN HISTORY I,1,20
USEM,53,A,SEM,Fall 2004,1043,"Decter, Jonathan",BETWEEN CONFLCT/COOPRATN,1,18
PHYS,11,A,LEC,Fall 2004,1043,"Roberts, David",BASIC PHYSICS I,1,75
UWS,5,A,SEM,Fall 2004,1043,"Kirshen, Douglas",UNIVERSITY WRITING SEM.,1,17
RPGM,2,,LEC,Fall 2004,1043,"Malkenson, Leo",INTRO PROGRAMMING JAVA,1,5
PHYS,301,A,SEM,Fall 2004,1043,"Roberts, David",ASTROPHYSICS SEMINAR I,1,2
RSEG,110,,LEC,Fall 2004,1043,"Hemdal, Erik",UNIX TOOLS,1,17
NEJS,144,A,LEC,Fall 2004,1043,"Levy, Avigdor",JEWS IN WORLD OF ISLAM,1,36
HIST,112,B,LEC,Fall 2004,1043,"Kapelle, William",CRUSADES/EXPANS.-MED EUR,1,45
ANTH,80,A,LEC,Fall 2004,1043,"Schattschneider, Ellen",ANTHROPOLOGY OF RELIGION,1,77
COSI,112,A,LEC,Fall 2004,1043,"Pustejovsky, James",THRY/MODELS:INTEL.BEHAVR,1,23
NEJS,161,A,LEC,Fall 2004,1043,"Fishman, Sylvia",AMERICAN JEWISH LIFE,1,26
POL,147,A,LEC,Fall 2004,1043,"Thaxton, Ralph",GOV'T./POLITICS OF CHINA,1,18
HIST,146,B,LEC,Fall 2004,1043,"Binion, Rudolph","HITLER, GERMANY & EUROPE",1,7
MUS,5,A,LEC,Fall 2004,1043,"Rust, Justin",FUNDAMENTALS OF MUSIC,1,27
MUS,10,A,STD,Fall 2004,1043,"Ramsey, Sarah",EARLY MUSIC ENSEMBLES,2XC,4
HS,253,B,LEC,Fall 2004,1043,"Chilingerian, Jon",LDRSHP/ORGNZTNL BEHAVIOR,1,47
USEM,4,A,SEM,Fall 2004,1043,"Hale, Jane",LITERACY AND DEVELOPMENT,1,14
ECON,135,A,LEC,Fall 2004,1043,"Sanyal, Paroma",INDUSTRIAL ORGANIZATION,1,37
PHYS,105,A,LEC,Fall 2004,1043,"Kondev, Jane",BIOLOGICAL PHYSICS,1,12
PHSC,2,B,LEC,Fall 2004,1043,"Wardle, John",INTRODUCTORY ASTRONOMY,1,50
NEJS,115,B,LEC,Fall 2004,1043,"Brettler, Marc",WOMEN AND THE HEB. BIBLE,1,41
USEM,9,A,SEM,Fall 2004,1043,"Abusch, Tzvi",WANDERING HERO:ANC. LIT.,1W,17
ECON,171,A,LEC,Fall 2004,1043,"Osler, Carol",FINANCIAL ECONOMICS,1,29
ENG,19,B,LEC,Fall 2004,1043,"Broumas, Olga",THE AUTOBIO IMAGINATION,1,19
MATH,10,A,LEC,Fall 2004,1043,"Parker, Susan",TECHNIQUES-CALCULUS (A),1,25
MATH,211,A,LEC,Fall 2004,1043,"Kleinbock, Dmitry",DIFF. GEOMETRY/ANALYSIS,1,9
PE,21,A,NCA,Fall 2004,1043,"Best-Jarvis, John",TENNIS,2,11
USEM,54,A,SEM,Fall 2004,1043,"Parmentier, Richard",IDEAS:EQUAL/SYST:INEQUAL,1,18
FREN,20,B,LEC,Fall 2004,1043,"Donlan, Edwige",CONTINUING FRENCH,2,17
FREN,33,A,LEC,Fall 2004,1043,"Voiret, Martine",INTER.FRENCH: READING,1,19
HIST,170,A,LEC,Fall 2004,1043,"Kelikian, Alice",ITALIAN FILMS/ITALIAN HISTORY,1,39
THA,282,A,STD,Fall 2004,1043,"Loewenguth, Denise",COST.DRAPNG&CNSTR 1 PRT1,1,2
SOC,150,B,LEC,Fall 2004,1043,"Miller, Laura",CULTURE OF CONSUMPTION,1,41
PE,26,A,NCA,Fall 2004,1043,"Baer, Carole-Ann",BALLROOM DANCE,2,31
HS,412,B,LEC,Fall 2004,1043,"Horgan, Constance",APPL.RSRCH:SUBSTNCE ABUS,1,6
RECS,148,A,LEC,Fall 2004,1043,"Powelstock, David",RUSSIAN DRAMA,1,8
HIST,157,A,SEM,Fall 2004,1043,"Jones, Jacqueline",AMERICAN LABOR HISTORY,1,13
HS,286,F,LEC,Fall 2004,1043,"Roper, Laura",CIVIL SOCIETY & NGOS,1,11
FA,181,B,LEC,Fall 2004,1043,"Wong, Aida",THE ART OF JAPAN,1,39
SPAN,34,A,LEC,Fall 2004,1043,"Gonzalez Ros, Elena",INTER. SPANISH: CULTURE,3,12
SPAN,20,B,LEC,Fall 2004,1043,"Stein, Lindsay",CONTINUING SPANISH,6,10
HS,279,A,LEC,Fall 2004,1043,"Simon, Laurence",PLAN/IMPL:CONCEPTS/METHD,2,28
FA,108,A,STD,Fall 2004,1043,"Wardwell, Joseph",INTERMEDIATE PAINTING,1,13
CHEM,231,C,SEM,Fall 2004,1043,"Yu, Jinquan",ORGANIC CHEMISTRY SEM.,1,24
CHEM,19,A,LAB,Fall 2004,1043,"Dolnik, Milos",HONORS GEN'L CHEM LAB I,2,13
CHEM,15,A,LEC,Fall 2004,1043,"Herzfeld, Judith",HONORS GENERAL CHEMISTRY,1,36
COSI,2,A,LEC,Fall 2004,1043,"Hickey, Timothy",INTRO TO COMPUTERS,1,86
HS,300,A,LEC,Fall 2004,1043,"Gil, David",THEORY/ANALYSIS: SOC.POL,1,28
MUS,201,A,SEM,Fall 2004,1043,"Owens, Jessie",PROSEMINAR: RENAISSANCE,1,7
NBIO,148,B,LEC,Fall 2004,1043,"Turrigiano, Gina",CELLULAR NEUROSCIENCE,1,17
PSYC,302,A,SEM,Fall 2004,1043,"Zebrowitz, Leslie",SOC/DVLMT PSYC II PROSEM,1,8
HSSP,92,B,SEM,Fall 2004,1043,"Conrad, Peter",INTERNSHIP & ANALYSIS,1,3
PE,5,A,NCA,Fall 2004,1043,"Sullivan, Mary",FIRST AID AND CPR,3,13
PE,22,A,NCA,Fall 2004,1043,"Best-Jarvis, John",SQUASH,2,8
THA,331,D,STD,Fall 2004,1043,"Donnelly, Candice",COSTUME DRAWING II,1,2
THA,332,D,STD,Fall 2004,1043,"Loewenguth, Denise",DRAPING/COSTM CONSTR II,1,3
THA,355,A,STD,Fall 2004,1043,"Doyle, Nancy",CAREER WORKSHOP: PART 1,1,10
JAPN,10,A,LEC,Fall 2004,1043,"Sekino, Hiroko",BEGINNING JAPANESE,1,21
JAPN,30,A,LEC,Fall 2004,1043,"Sekino, Hiroko",INTERMEDIATE JAPANESE,1,12
SPAN,33,A,LEC,Fall 2004,1043,"Nasielskier Burstin, Mary",INTER.SPANISH:READING,1,20
SPAN,34,A,LEC,Fall 2004,1043,"Mederos, Raysa",INTER. SPANISH: CULTURE,2,23
USEM,39,A,SEM,Fall 2004,1043,"Randall, Michael",ON THE ROAD:HOMER-SCOTT,1,18
PSYC,52,A,LEC,Fall 2004,1043,"Sherman, Aurora",RSRCH METHODS IN PSYCHLG,1,29
PHYS,19,A,LAB,Fall 2004,1043,"Fell, Richard",PHYSICS LAB I,2,10
UWS,6,A,SEM,Fall 2004,1043,"Martinez, Carlos",UNIVERSITY WRITING SEM.,1,17
PHYS,19,A,LAB,Fall 2004,1043,"Fell, Richard",PHYSICS LAB I,5,14
PHYS,19,A,LAB,Fall 2004,1043,"Fell, Richard",PHYSICS LAB I,6,9
PHYS,40,A,LEC,Fall 2004,1043,"Fraden, Seth",INTRO:THERMODYN/ST.MECH.,1,16
UWS,13,A,SEM,Fall 2004,1043,"Olson, Rebecca",UNIVERSITY WRITING SEM.,1,17
RSEG,107,,LEC,Fall 2004,1043,"Hemdal, Erik",PERL PROGRAMMING,1,12
RSEG,120,,LEC,Fall 2004,1043,"Phillips, Cynthia",SOFTWARE DEVEL.METHODLG.,1,12
RSEG,120,,LEC,Fall 2004,1043,"Raben, Richard",SOFTWARE DEVEL.METHODLG.,2DL,20
ENG,119,A,SEM,Fall 2004,1043,"Papernick, Jon",DIRECTED WRITING: FICTION,1,7
NEJS,25,A,LEC,Fall 2004,1043,"Kimelman, Reuven",INTRODUCTION TO TALMUD,1,21
NEJS,9,A,LEC,Fall 2004,1043,"Wright, David",THE WORLD:ANCIENT N.EAST,1,11
HIST,166,B,LEC,Fall 2004,1043,"Fischer, David",THE U.S. IN WORLD WAR II,1,67
HS,279,A,LEC,Fall 2004,1043,"Maconick, Roger",PLAN/IMPL:CONCEPTS/METHD,1,20
ENG,47,A,LEC,Fall 2004,1043,"Chu, Patricia",ASIAN-AMERICAN LITERATUR,1,9
FA,112,A,STD,Fall 2004,1043,"Baenziger, Markus",INTERMEDIATE SCULPTURE,1,4
POL,161,B,LEC,Fall 2004,1043,"Brown, Seyom",CAUSES & PREVENTION-WAR,1,50
MUS,1,A,LEC,Fall 2004,1043,"Keiler, Allan",INTRODUCTION TO MUSIC,1,74
MUS,10,A,STD,Fall 2004,1043,"Ramsey, Sarah",EARLY MUSIC ENSEMBLES,1,10
HS,225,A,LEC,Fall 2004,1043,"Whalen, David",FUNDRAISING & DEVELOPMNT,1,20
USEM,28,B,SEM,Fall 2004,1043,"Freeze, ChaeRan",JEWISH FAMILY: PAST & PRESENT,1,17
HBRW,10,A,LEC,Fall 2004,1043,"Shorr, Esther",BEGINNING HEBREW,1,22
PHIL,23,B,LEC,Fall 2004,1043,"Hirsch, Eli",BIOMEDICAL ETHICS,1,88
PHIL,20,A,LEC,Fall 2004,1043,"Teuber, Andreas",DEMOCRACY & DISOBEDIENCE,1,87
LING,100,A,LEC,Fall 2004,1043,"Citko, Barbara",INTRO TO LINGUISTICS,1,89
MATH,5,A,LEC,Fall 2004,1043,"Torrey, Rebecca",PRECALCULUS MATHEMATICS,3,19
MATH,36,A,LEC,Fall 2004,1043,"Kleinbock, Dmitry",PROBABILITY,1,50
HIST,210,A,SEM,Fall 2004,1043,"Freeze, Gregory",RSRCH/METHOD:NEW DEPART.,1,8
NEJS,145,A,LEC,Fall 2004,1043,"Troen, Selwyn",HISTORY: STATE OF ISRAEL,1,49
HS,236,A,LEC,Fall 2004,1043,"Nandakumar, Allyala",INTERNATIONAL HEALTH SYSTEM,1,17
NPSY,207,B,SEM,Fall 2004,1043,"Lackner, James",SEMINAR:PERCEPTION,1,4
HS,297,F,LEC,Fall 2004,1043,"Lakshmikanthan, Ravi",INTRO TO GIS,1,30
FA,105,A,STD,Fall 2004,1043,"Gisholt, Alfredo",INTRO PRNTMKG: INTAGLIO,1,16
HS,525,A,LEC,Fall 2004,1043,"Mutschler, Phyllis",AGING ISSUES & POLICIES,1,8
HS,602,C,SEM,Fall 2004,1043,"Klerman, Lorraine",Family/Child Policy Disser Sem,1,6
AAAS,133,B,LEC,Fall 2004,1043,"Singh, Avinash",LITERATURE OF CARIBBEAN,1,12
ECON,232,F,LEC,Fall 2004,1043,"Bayone, Edward",COUNTRY RISK ANALYSIS,1,55
ECON,57,A,LEC,Fall 2004,1043,"Martin, Timothy",ENVIRONMENTAL ECONOMICS,1,21
BUS,10,A,LEC,Fall 2004,1043,"Bayone, Edward",CAPITALIST ENTERPRISE,1,37
ARBC,103,A,LEC,Fall 2004,1043,"Salameh, Franck",ADVANCED LITERARY ARABIC,1,6
ECON,2,A,LEC,Fall 2004,1043,"Coiner, Harry",INTRO TO ECONOMICS,1,164
CHEM,59,B,LAB,Fall 2004,1043,"Chan, Iu-Yam",ADV. EXPERIMENTAL CHEM,1,7
BIOL,23,A,LEC,Fall 2004,1043,"Perlman, Dan",EVOLUTIONARY ECOLOGY,1,30
BUS,295,A,LEC,Fall 2004,1043,"Goldstein, Beth",FIELD PRJECTS IN COLSULT,1,6
BIOL,202,D,LEC,Fall 2004,1043,"McIntosh, Nathalie",INTRO:GENETIC COUNSELING,1,9
HS,401,B,LEC,Fall 2004,1043,"Saxe, Leonard",RESEARCH METHODS,1,15
HS,403,B,LEC,Fall 2004,1043,"Shapiro, Thomas",QUALITATIVE RESEARCH,1,4
HS,425,F,LEC,Fall 2004,1043,"Doonan, Michael",CASE STUDY METHODOLOGY,1,7
JCS,229,A,LEC,Fall 2004,1043,"Israel, Sherry",AMER. JEWISH COMMUNITY,1,9
HIST,146,A,LEC,Fall 2004,1043,"Binion, Rudolph",ROMANTIC EUROPE 1798-1848,1,6
PE,1,A,NCA,Fall 2004,1043,"Sullivan, Mary",BEGINNER'S SWIMMING,1,8
HSSP,92,B,SEM,Fall 2004,1043,"Nelson, Sacha",INTERNSHIP & ANALYSIS,5,1
PE,16,A,NCA,Fall 2004,1043,"Varney Jr, Richard",GOLF,2,12
ITAL,30,A,LEC,Fall 2004,1043,"Dal Bo-Wheeler, Nives",INTERMEDIATE ITALIAN,2,13
SPAN,20,B,LEC,Fall 2004,1043,"Hernandez-Guerrero, Olmanda",CONTINUING SPANISH,3,16
SPAN,106,B,LEC,Fall 2004,1043,"Hernandez-Guerrero, Olmanda","SPAN. COMP,GRAMMAR,STYLE",2,14
NBIO,150,A,LEC,Fall 2004,1043,"Birren, Susan",AUTISM DEVELOPMENTAL DISORDERS,1,44
PSYC,14,A,LEC,Fall 2004,1043,"Wodinsky, Jerome",COMPARATIVE PSYCHOLOGY,1,10
PSYC,33,A,LEC,Fall 2004,1043,"Watson, Malcolm",DEVELOPMENTAL PSYCHOLOGY,1,76
USEM,30,B,SEM,Fall 2004,1043,"Watson, Malcolm","PLAY, ART, & CREATIVITY",1W,18
PSYC,193,B,LEC,Fall 2004,1043,"Knight, Raymond",TESTS AND MEASUREMENTS,1,7
PHYS,20,A,LEC,Fall 2004,1043,"Fell, Richard",MODERN PHYSICS I,1,28
UWS,14,A,SEM,Fall 2004,1043,"Gent, Shannon",UNIVERSITY WRITING SEM.,1,15
FA,107,A,STD,Fall 2004,1043,"Lichtman, Susan",BEGINNING PAINTING,1,20
THA,15,B,LEC,Fall 2004,1043,"Walsh, Robert",PUBLIC SPEAKING,1,23
FA,110,A,STD,Fall 2004,1043,"Campbell, Graham",SENIOR STUDIO,2,12
RSEG,101,,LEC,Fall 2004,1043,"Svet, Olga",ADV. PROGRAMMING IN C,1DL,7
RSEG,151,,LEC,Fall 2004,1043,"Malkenson, Leo",XML & RELATED LANGUAGES,1DL,20
SOC,126,A,LEC,Fall 2004,1043,"Jenkins, Kathleen",SOCIOLOGY OF DEVIANCE,1,40
HIST,137,A,LEC,Fall 2004,1043,"Black, Eugene",INT'L SYST: 1815-PRESENT,1,22
ENG,103,A,SEM,Fall 2004,1043,"Targoff, Ramie",J.DONNE/METAPHYSC. POETS,1,17
ENG,77,B,LEC,Fall 2004,1043,"Sanders, Mark",LIT. OF GLOBAL ENGLISH,1,23
MUS,106,A,STD,Fall 2004,1043,"Hughes, Curtis",UNDEGRADUATE COMPOSITION,1,7
POL,150,A,LEC,Fall 2004,1043,"Hindley, Donald",POLITICS-SOUTHEAST ASIA,1,19
HIST,195,B,LEC,Fall 2004,1043,"Hulliung, Mark",AM.POLITICAL THOUGHT II,1,21
FREN,20,B,LEC,Fall 2004,1043,"Donlan, Edwige",CONTINUING FRENCH,1,18
MUS,11,A,STD,Fall 2004,1043,"Olesen, James",CHAMBER CHOIR,1,5
MUS,12,A,STD,Fall 2004,1043,"Olesen, James",UNIVERSITY CHORUS,2XC,10
HBRW,10,A,LEC,Fall 2004,1043,"Antebi, Guy",BEGINNING HEBREW,2,22
THA,290,A,STD,Fall 2004,1043,"Booth, Debra",DESIGN DRAFTING II PRT 1,1,5
SPAN,10,A,LEC,Fall 2004,1043,"Arteta, Jorge",BEGINNING SPANISH,1,19
ECON,80,A,LEC,Fall 2004,1043,"Sanyal, Paroma",MICROECONOMIC THEORY,1,49
ECON,82,B,LEC,Fall 2004,1043,"Bahceci, Serkan",MACROECONOMIC THEORY,2,39
HIST,51,A,LEC,Fall 2004,1043,"Fein, Michael",U.S. HISTORY: 1607-1865,1,43
LGLS,114,A,LEC,Fall 2004,1043,"Noble, Alice",AM.HEALTHCARE:LAW/POLICY,1,21
POL,189,A,LEC,Fall 2004,1043,"Yack, Bernard","MARX,NIETZCHE,RADICALISM",1,21
FA,110,A,STD,Fall 2004,1043,"Baenziger, Markus",SENIOR STUDIO,1,2
ECON,201,A,LEC,Fall 2004,1043,"Ballantine Jr., John",GLOBAL ECONOMIC ENVIRMNT,3,43
ECON,399,A,SEM,Fall 2004,1043,"LeBaron, Blake",DISSERTATION WORKSHOP,1,17
THA,231,A,STD,Fall 2004,1043,"Loewenguth, Denise",DRAFT FOR THE COSTUMES 1,1,4
ANTH,142,A,LEC,Fall 2004,1043,"Kammerer, Cornelia",AIDS:ANTHROPOLOGICAL PERSPECT,1,21
HS,266,F,LEC,Fall 2004,1043,"Suaya Grezzi, Jose Antonio",ECON CONCEPTS FOR DEV. PRACT.,1,20
FA,120,A,LEC,Fall 2004,1043,"Richardson, Milda",MODERN ARCHITECTURE,1,21
ECON,215,A,LEC,Fall 2004,1043,"Sanyal, Paroma",ECONOMETRICS/INTL APPLIC,1,15
MATH,221,A,LEC,Fall 2004,1043,"Ruberman, Daniel",TOPOLOGY III,1,6
RSEG,17,,LEC,Fall 2004,1043,"Marando, Anne",INTRO:PROGRAM. CONCEPTS,1,4
MUS,102,A,LAB,Fall 2004,1043,"Aylward, John",THEORY/MSCNSHP LABI PRT1,3,11
CHIN,10,A,LEC,Fall 2004,1043,"Liu, Yuxiang",BEGINNING CHINESE,1,28
BIOL,22,B,LEC,Fall 2004,1043,"Goode, Bruce",CELL STRUCTURE/FUNCTION,4,55
BIOL,307,D,SEM,Fall 2004,1043,"Press, Joan",TOPICS IN IMMUNOLOGY,1,10
CHEM,41,A,LEC,Fall 2004,1043,"Gershenson, Anne",PHYS. CHEM.LECTURES I,1,34
